bus_id,route_id,trip_id,timestamp_sec,latitude,longitude,speed_kmph,source
SYN_MTC_001,23766,2073,22800,13.03432,80.26807,0.0,synthetic_from_MTC_GTFS
SYN_MTC_001,23766,2073,22810,13.0338775,80.26792916666666,18.545,synthetic_from_MTC_GTFS
SYN_MTC_001,23766,2073,22820,13.033434999999999,80.26778833333333,18.545,synthetic_from_MTC_GTFS
SYN_MTC_001,23766,2073,22830,13.032992499999999,80.2676475,18.545,synthetic_from_MTC_GTFS
SYN_MTC_001,23766,2073,22840,13.032549999999999,80.26750666666666,18.545,synthetic_from_MTC_GTFS
SYN_MTC_001,23766,2073,22850,13.032107499999999,80.26736583333333,18.545,synthetic_from_MTC_GTFS
SYN_MTC_001,23766,2073,22860,13.031665,80.267225,18.545,synthetic_from_MTC_GTFS
SYN_MTC_001,23766,2073,22870,13.0312225,80.26708416666666,18.545,synthetic_from_MTC_GTFS
SYN_MTC_001,23766,2073,22880,13.03078,80.26694333333333,18.545,synthetic_from_MTC_GTFS
SYN_MTC_001,23766,2073,22890,13.0303375,80.2668025,18.545,synthetic_from_MTC_GTFS
SYN_MTC_001,23766,2073,22900,13.029895,80.26666166666666,18.545,synthetic_from_MTC_GTFS
SYN_MTC_001,23766,2073,22910,13.0294525,80.26652083333333,18.545,synthetic_from_MTC_GTFS
SYN_MTC_001,23766,2073,22920,13.02901,80.26638,18.545,synthetic_from_MTC_GTFS
SYN_MTC_001,23766,2073,22930,13.028581666666666,80.26631666666667,17.323,synthetic_from_MTC_GTFS
SYN_MTC_001,23766,2073,22940,13.028153333333332,80.26625333333334,17.323,synthetic_from_MTC_GTFS
SYN_MTC_001,23766,2073,22950,13.027725,80.26619,17.323,synthetic_from_MTC_GTFS
SYN_MTC_001,23766,2073,22960,13.027296666666667,80.26612666666666,17.323,synthetic_from_MTC_GTFS
SYN_MTC_001,23766,2073,22970,13.026868333333333,80.26606333333334,17.323,synthetic_from_MTC_GTFS
SYN_MTC_001,23766,2073,22980,13.02644,80.266,17.323,synthetic_from_MTC_GTFS
SYN_MTC_001,23766,2073,22990,13.02571,80.26557,33.692,synthetic_from_MTC_GTFS
SYN_MTC_001,23766,2073,23000,13.02498,80.26514,33.692,synthetic_from_MTC_GTFS
SYN_MTC_001,23766,2073,23010,13.024249999999999,80.26471000000001,33.692,synthetic_from_MTC_GTFS
SYN_MTC_001,23766,2073,23020,13.02352,80.26428,33.692,synthetic_from_MTC_GTFS
SYN_MTC_001,23766,2073,23030,13.02279,80.26384999999999,33.692,synthetic_from_MTC_GTFS
SYN_MTC_001,23766,2073,23040,13.02206,80.26342,33.692,synthetic_from_MTC_GTFS
SYN_MTC_001,23766,2073,23050,13.021811666666666,80.26337916666667,10.068,synthetic_from_MTC_GTFS
SYN_MTC_001,23766,2073,23060,13.021563333333333,80.26333833333334,10.068,synthetic_from_MTC_GTFS
SYN_MTC_001,23766,2073,23070,13.021315,80.2632975,10.068,synthetic_from_MTC_GTFS
SYN_MTC_001,23766,2073,23080,13.021066666666666,80.26325666666666,10.068,synthetic_from_MTC_GTFS
SYN_MTC_001,23766,2073,23090,13.020818333333333,80.26321583333333,10.068,synthetic_from_MTC_GTFS
SYN_MTC_001,23766,2073,23100,13.02057,80.26317499999999,10.068,synthetic_from_MTC_GTFS
SYN_MTC_001,23766,2073,23110,13.020321666666668,80.26313416666666,10.068,synthetic_from_MTC_GTFS
